"manufacturer","color","material","additional","name","glide","stability","speed","weight","image","type","missing","missing_description","sold","broken","Hole in one","HIO date","fade","collection_item","sold_at","Own stamp","Donated","Donation description","price","price_status","sold_for","HIO description","_id","_created","_createdby","_changed","_changedby"
"Innova","Keltainen","Pro","","XT Nova","3","0","2","167","58bc0a634552c80e00000018","Putter","false","","true","false","false","","0.0","false","03.09.2018","","","","15.9","","","","58bc7bcd4552c80e0000003f","2017-03-05T20:57:49.932Z","janimatti.ellonen@gmail.com","2019-04-13T19:10:54.688Z","janimatti.ellonen@gmail.com"
"Discmania","oranssi","D-line","","P1 Maniac","3","0","2","175","56e1ccb9269db372000005b7","Putter","false","","false","","","","0.0","","","","true","","10.9","","","","56d89c71011d315d00000a35","2016-03-03T20:20:01.948Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:47.421Z","janimatti.ellonen@gmail.com"
"Discmania","valkoinen","","","MD2 Fiend","5","0","4","180","56eda458bdfc9f64000013f7","Mid-range","false","","","","","","1","","","","","","17.9","","","","56d89c71011d315d00000a21","2016-03-03T20:20:01.922Z","janimatti.ellonen@gmail.com","2019-04-12T12:37:02.671Z","janimatti.ellonen@gmail.com"
"Innova","sininen","DX","","Banshee","3","0","7","172","56eda456bdfc9f64000013f3","Fairway driver","false","Myyty","true","","","","3","","","","","","10.9","","","","56d89c71011d315d00000a17","2016-03-03T20:20:01.908Z","janimatti.ellonen@gmail.com","2019-04-13T18:53:09.377Z","janimatti.ellonen@gmail.com"
"Innova","vaalean vihreä","Star","","Daedalus","6","-3","13","167","56d9dc45011d315d00004c32","Distance driver","","","true","","","","2","","","","","","17.9","","","","56d89c71011d315d000009fb","2016-03-03T20:20:01.864Z","janimatti.ellonen@gmail.com","2019-04-13T18:52:37.699Z","janimatti.ellonen@gmail.com"
"Discmania","White","Discmania Active Base ","","Guardian Lion","3","0","1","168","5c9d35d78f723d5e000217c9","Putter","false","","true","false","false","","1","false","09.08.2019","false","false","","6.95","","","","5c9d368e8f723d5e000217d4","2019-03-28T21:03:10.880Z","janimatti.ellonen@gmail.com","2019-08-15T19:04:25.314Z","janimatti.ellonen@gmail.com"
"MVP","sininen, mustat reunat","","","Shock","5","0","8","173","","Fairway driver","true","Kadonnut kesäkuussa 2015, vissiin Talissa.","","","","","3","","","","","","17.9","","","","56d89c71011d315d00000a0d","2016-03-03T20:20:01.897Z","janimatti.ellonen@gmail.com","2019-04-13T19:08:07.596Z","janimatti.ellonen@gmail.com"
"Innova","Sininen","D-Line","","P1X","3","0","2","175","58bc0a5e4552c80e00000011","Putter","false","","false","true","false","","0.0","false","","","","","10.9","","","","58bc0af94552c80e0000001f","2017-03-05T12:56:25.906Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:15.972Z","janimatti.ellonen@gmail.com"
"Discraft","oranssi-keltainen","Elite Z","","Buzzz SS","4","-2","5","174","","Mid-range","true","Kadonnut Talissa, kävin katsomassa 5.7.2014 muttei ollut löytynyt","","","","","1","","","","","","17.9","","","","56d89c71011d315d00000a1b","2016-03-03T20:20:01.912Z","janimatti.ellonen@gmail.com","2019-04-12T12:44:34.606Z","janimatti.ellonen@gmail.com"
"Dynamic Discs","Multi-color","Fuzion","","Truth","5","0","5","177","5c63101f3ef5112f0001edef","Mid-range","false","","false","false","false","","2","false","","true","false","","17.9","","","","5c6310f63ef5112f0001edf6","2019-02-12T18:31:18.678Z","janimatti.ellonen@gmail.com","2019-04-13T18:44:50.110Z","janimatti.ellonen@gmail.com"
"Innova","valkoinen, DGS-brändätty","","","Roc","4","0","4","180","56e1ccb2269db372000005af","Mid-range","false","","true","false","false","","2","false","","","","","20","","","","56d89c71011d315d00000a27","2016-03-03T20:20:01.929Z","janimatti.ellonen@gmail.com","2019-04-13T18:55:37.741Z","janimatti.ellonen@gmail.com"
"Prodiscus","Keltainen","Ultrium","","JOKERi","3","0","4","172","58bc0a624552c80e00000015","Putter","false","","false","false","false","","0.0","false","","","","","13","","","","58bc7b264552c80e0000003c","2017-03-05T20:55:02.648Z","janimatti.ellonen@gmail.com","2019-04-13T18:50:41.044Z","janimatti.ellonen@gmail.com"
"Discmania","keltainen","D-line","","P1 Maniac","3","0","2","171","","Putter","true","Katosi Kivikon 1. väylän vesi-esteeseen 31.7.2014","","","","","0.0","","","","","","10.9","","","","56d89c71011d315d00000a31","2016-03-03T20:20:01.939Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:44.109Z","janimatti.ellonen@gmail.com"
"Westside discs","valkoinen, kirveen kuva","Tournament","","Sotakirves","6","-2","9","0","56eda460bdfc9f6400001401","Distance driver","false","","","","","","2","","","","","","17.9","","","","56d89c71011d315d00000a07","2016-03-03T20:20:01.890Z","janimatti.ellonen@gmail.com","2019-04-14T10:56:54.301Z","janimatti.ellonen@gmail.com"
"Innova","keltainen","Pro","","Katana","5","-3","13","175","56e1ccb3269db372000005b0","Distance driver","","","true","","","","3","","","","","","13.9","","","","56d89c71011d315d000009f8","2016-03-03T20:20:01.861Z","janimatti.ellonen@gmail.com","2019-04-13T19:07:15.843Z","janimatti.ellonen@gmail.com"
"Innova","Keltainen","","Järva challenge & pleasure","Aviar","3","0","2","169","579b850e19d1284d00000003","Putter","false","","","","","","1","true","","","","","17","","","","579b855319d1284d00000007","2016-07-29T16:33:23.527Z","janimatti.ellonen@gmail.com","2019-04-13T19:19:21.971Z","janimatti.ellonen@gmail.com"
"Prodigy","vaalean vihreä","","","F5 350 rx","5","-1","8","150","56eda45bbdfc9f64000013fb","Fairway driver","false","Paska kiekko. En hallitse sitä mitenkään.","","","","","2","","","","","","15","","","","56d89c71011d315d00000a10","2016-03-03T20:20:01.900Z","janimatti.ellonen@gmail.com","2019-04-13T18:53:46.135Z","janimatti.ellonen@gmail.com"
"Discmania","sininen","D-Line","Aviaattorit-logo","P1x Beaded Putter","3","0","2","175","57362007a08cbf5900000992","Putter","false","","","true","","","0.0","","","","","","10.9","","","","5736207da08cbf5900000993","2016-05-13T18:44:13.363Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:39.376Z","janimatti.ellonen@gmail.com"
"Prodiscus","Valkoinen","Basic","Fraktio stamp","JOKERi","3","0","4","0","56d9dc3d011d315d00004c29","Putter","false","Annettu Nousiaisen Mikolle palkinnoksi","","","","","2","","","","true","Annettu Nousiaisen Mikolle palkinnoksi","25","","","","56d9ded1011d315d00004c3b","2016-03-04T19:15:29.386Z","janimatti.ellonen@gmail.com","2019-07-29T12:49:51.013Z","janimatti.ellonen@gmail.com"
"Discmania","Yellow","D-Line","","P3","2","0","3","175","5cb3896c8f723d5e0003109d","Putter","false","","false","false","false","","3","false","","false","false","","10.9","","","","5cb38d8e8f723d5e000310ed","2019-04-14T19:44:14.653Z","janimatti.ellonen@gmail.com","2019-04-14T19:44:14.653Z","janimatti.ellonen@gmail.com"
"Innova","Kellertävä","Star","","Valkyrie","4","-2","9","170","57a9de1e7911e5750000045d","Distance driver","false","","","","","","2","","","","","","17.9","","","","57a9de947911e5750000045f","2016-08-09T13:45:56.687Z","janimatti.ellonen@gmail.com","2019-04-12T12:36:09.419Z","janimatti.ellonen@gmail.com"
"Latitude 64","vaalean punainen","","","Missilen","3","0","15","175","56e1ccb7269db372000005b5","Distance driver","false","Haastava kiekko. Myyty","true","","","","4","","","","","","16.9","","","","56d89c71011d315d000009f1","2016-03-03T20:20:01.854Z","janimatti.ellonen@gmail.com","2019-04-13T19:24:18.187Z","janimatti.ellonen@gmail.com"
"Prodigy","Vihreä","300s","","M3","4","-1","5","180","58bc0a614552c80e00000014","Mid-range","false","","false","false","false","","2","false","","","","","12.9","","","","58bc0bcc4552c80e00000027","2017-03-05T12:59:56.981Z","janimatti.ellonen@gmail.com","2019-04-13T19:11:12.569Z","janimatti.ellonen@gmail.com"
"Innova","Keltainen","","Järva challenge & pleasure","Aviar","3","0","2","175","579b850f19d1284d00000004","Putter","false","","","","","","1","true","","","","","17","","","","579b852a19d1284d00000006","2016-07-29T16:32:42.862Z","janimatti.ellonen@gmail.com","2019-04-13T19:19:28.172Z","janimatti.ellonen@gmail.com"
"Innova","Red","Champion","European Opean stamp","VROC3","4","0","5","180","5babdf6f81f9ca39000071e2","Mid-range","false","","false","false","false","","3","false","","","","","15","","","","5babe11581f9ca390000720a","2018-09-26T19:42:13.523Z","janimatti.ellonen@gmail.com","2019-04-13T19:09:43.136Z","janimatti.ellonen@gmail.com"
